Property,Descriptions,中文名称,新描述
simultaneousUseOfNetworkSlice,"This attribute describes whether a network slice can be simultaneously with other network slice and if so, which group the network slice belongs to",网络切片并发使用,描述一个网络切片是否可以与其他网络切片同时使用，以及它属于哪个组。
sessionAndServiceContinuitySupport,"The attribute defines the continuity of a Protocol Data Unit (PDU) session. The following three Session and Service Continuity (SSC) modes are specified: SSC mode 1 - the network preserves the connectivity service provided to the UE (the IP address is preserved), SSC mode 2 - the network may release the connectivity service delivered to the UE and release the corresponding PDU Session (the network may release IP address(es) that had been allocated to the UE), SSC mode 3 - changes to the user plane can be visible to the UE, while the network ensures that the UE suffers no loss of connectivity service (the IP address is not preserved in this mode when the PDU Session Anchor changes), None – UE loses the connectivity service",会话和服务连续性支持(SSC),定义了PDU会话的连续性模式，决定了在移动性场景下IP地址是否保留。
rootCauseInvestigation,Root cause investigation is the capability provided to NSC to understand or investigate the root cause of network service performance degradation or failure,根因调查,提供给网络切片客户的能力，用于理解或调查网络服务性能下降或故障的根本原因。
performanceMonitoringAvailability,This parameter contains a list of KQIs and KPIs available for monitoring. If the list is empty this attribute is not available in the network slice and the other parameters might be ignored,性能监控可用性,包含可用于监控的关键质量指标（KQI）和关键性能指标（KPI）的列表。
missionCriticalSupporMissionCriticalServiceSupport,"This attribute specifies whether or not the network slice supports mission-critical push-to-talk (MCPTT), mission-critical data (MCData)], mission-critical video (MCVideo), Isolated E-UTRAN Operation for Public Safety (IOPS), or mission-critical interworking",关键任务支持-服务支持,(拼写错误) 表明网络切片是否支持关键任务服务，如MCPTT（一键通）、MCData（关键数据）。
missionCriticalSupportMissionCriticalCapabilitySupport,This parameter specifies what capabilities are available to support mission-critical services.  More than one capability may be supported at once.  This parameter must be present if Mission critical supportis set toMission-critical.,关键任务支持-能力支持,(拼写错误) 指定了可用于支持关键任务服务的能力。
downlinkThroughputperUEDownlinkMaximumRateServiceCategory,"This attribute defines a service category wich may be assigned to certain groups of devices using the netwirk slice, associated to a Maximum Dowlink Troughput",下行吞吐量-每UE服务类别,(拼写错误) 定义了可分配给设备组的服务类别，与一个最大下行吞吐量相关联。
downlinkThroughputPerNetworkSliceMaximumDownlinkThroughput,This attribute defines the maximum data rate supported by the network slice in downlink.,切片下行吞吐量-最大值,定义了网络切片在下行方向上支持的最大数据速率。
additionalDownlinkGBRQoSFlows,Additional downlink GBR QoS flows .,额外下行GBR QoS流,额外的下行保证比特率（GBR）QoS流。
downlinkThroughputPerNetworkSliceGuaranteedDownlinkThroughputQuota,This attribute describes the guaranteed data rate supported by the network slice in downlink.,切片下行吞吐量-保证配额,(拼写错误) 描述网络切片在下行方向上支持的保证数据速率。
deterministicCommunicationPeriodicity,Periodicity provides a list of periodicities supported by the network slice.,确定性通信-周期性,提供了网络切片支持的周期性列表。
deterministicCommunicationAvailabilty,Availability describes if the network slice supports deterministic communication.,确定性通信-可用性,(拼写错误) 描述网络切片是否支持确定性通信。
assetType,"Second level to define the type of managed element for product/service/resource managed entities (e.g.: mobile line subscription, video platform license, mobile equipment, etc). Allows identifying the specific asset within the server referenced. Supported values are implementation and application specific. Other values can be added if those listed are not enough",资产类型,用于定义受管资产类型的第二级分类，例如“手机号码订阅”、“移动设备”。
requestedProduct,Requested product for reservation - a Product configuration could be passed,请求的产品,为预留请求的产品。
quantityReserved,Quantity reserved for this Product,已预留数量,为此产品已预留的数量。
quantityRequested,Quantity requested for this Product,请求数量,为此产品请求的数量。
productStockReserved,Identifier of the Product Stock used for this reservation item.,已预留产品库存,用于此预留项的产品库存的标识符。
productStockRequested,Identifier of the Product Stock requested for this reservation item.,请求的产品库存,为此预留项请求的产品库存的标识符。
