Schema,Descriptions,中文名称,新描述
LightGeographicSubAddress_FVO,,轻量地理子地址,一个简化的地理子地址模型，只包含最核心的字段。
LightGeographicSubAddress_MVO,,轻量地理子地址,一个简化的地理子地址模型，只包含最核心的字段。
LimitParameter,,限制数量参数,控制分页查询返回的最大记录数。
LineString_FVO,GeoJSON: A collection of Points forming a connected line,线 (GeoJSON),GeoJSON标准格式：由一系列坐标点连接而成的线。
LineString_MVO,GeoJSON: A collection of Points forming a connected line,线 (GeoJSON),GeoJSON标准格式：由一系列坐标点连接而成的线。
ListAssetGroup_FVO,,列表资产组,一种资产组，通过明确列出其成员的方式来定义。
ListAssetGroup_MVO,,列表资产组,一种资产组，通过明确列出其成员的方式来定义。
ListGeographicAddressGeographicSubAddressRequestParameters,,列出子地址请求参数,查询地理子地址（如楼层、单元号）的参数。
ListGeographicAddressGeographicSubAddressRequestParametersHeader,,列出子地址请求头参数,对应 Header 定义。
ListGeographicAddressRequestParameters,,列出地理地址请求参数,查询地址列表时的过滤与分页参数。
ListGeographicAddressRequestParametersHeader,,列出地理地址请求头参数,对应 Header 定义。
ListGeographicAddressValidationRequestParameters,,列出地址验证请求参数,查询已提交的地址验证记录。
ListGeographicAddressValidationRequestParametersHeader,,列出地址验证请求头参数,对应 Header 定义。
ListTroubleTicketRequestParameters,,列出故障工单请求参数,查询 TroubleTicket 列表的分页与过滤条件。
ListTroubleTicketRequestParametersHeader,,列出故障工单请求头参数,对应 Header 定义。
ListTroubleTicketSpecificationRequestParameters,,列出工单规格请求参数,查询 TroubleTicket 规格列表的参数。
ListTroubleTicketSpecificationRequestParametersHeader,,列出工单规格请求头参数,对应 Header 定义。
LogicalResource_FVO,,逻辑资源,描述一个非物理的、抽象的资源，例如IP地址或软件许可证。
LogicalResource_MVO,,逻辑资源,描述一个非物理的、抽象的资源，例如IP地址或软件许可证。
LogicalResourceRole_FVO,Logic Resource Role,逻辑资源角色,一个逻辑资源在特定上下文中扮演的角色。
LogicalResourceRole_MVO,Logic Resource Role,逻辑资源角色,一个逻辑资源在特定上下文中扮演的角色。
LoginPasswordCredential_FVO,,登录密码凭证,一种凭证类型，由用户名和密码组成。
LoginPasswordCredential_MVO,,登录密码凭证,一种凭证类型，由用户名和密码组成。
ManagementJob_FVO,,管理任务,一个通用的管理任务模型，是其他具体任务（如度量采集任务）的基类。
ManagementJob_MVO,,管理任务,一个通用的管理任务模型，是其他具体任务（如度量采集任务）的基类。
MapArrayCharacteristicValueSpecification_FVO,,映射表数组特征值规约,CharacteristicValueSpecification的具体实现，用于为映射表数组类型的特征值定义规则。
MapArrayCharacteristicValueSpecification_MVO,,映射表数组特征值规约,CharacteristicValueSpecification的具体实现，用于为映射表数组类型的特征值定义规则。
MapCharacteristicValueSpecification_FVO,,映射表特征值规约,CharacteristicValueSpecification的具体实现，用于为映射表（键值对）类型的特征值定义规则。
MapCharacteristicValueSpecification_MVO,,映射表特征值规约,CharacteristicValueSpecification的具体实现，用于为映射表（键值对）类型的特征值定义规则。
MeasurementCollectionJob_FVO,,度量采集任务,定义一个用于采集性能度量数据的任务。
MeasurementCollectionJob_MVO,,度量采集任务,定义一个用于采集性能度量数据的任务。
MeasurementJob_FVO,,度量任务,一个通用的度量任务模型，是度量采集任务的基类。
MeasurementJob_MVO,,度量任务,一个通用的度量任务模型，是度量采集任务的基类。
MonitoredClassCriteria_FVO,,被监控分类标准,定义筛选需要被监控的对象类别的标准。
MonitoredInstancesCriteria_FVO,,被监控实例标准,定义筛选需要被监控的具体对象实例的标准。
MonthlyScheduleDayOfWeekDefinition_FVO,,按月计划-周定义,在按月重复的计划中，具体定义在哪一周的星期几执行。
MonthlyScheduleDayOfWeekDefinition_MVO,,按月计划-周定义,在按月重复的计划中，具体定义在哪一周的星期几执行。
MultiLineString_FVO,GeoJSON: A collection of distinct LineStrings,多线 (GeoJSON),GeoJSON标准格式：由多条独立的线（LineString）组成的集合。
MultiLineString_MVO,GeoJSON: A collection of distinct LineStrings,多线 (GeoJSON),GeoJSON标准格式：由多条独立的线（LineString）组成的集合。
MultiPoint_FVO,GeoJSON: A collection of Points,多点 (GeoJSON),GeoJSON标准格式：由多个坐标点（Point）组成的集合。
MultiPoint_MVO,GeoJSON: A collection of Points,多点 (GeoJSON),GeoJSON标准格式：由多个坐标点（Point）组成的集合。
MultiPolygon_FVO,GeoJSON: A collection of Polygons,多多边形 (GeoJSON),GeoJSON标准格式：由多个多边形（Polygon）组成的集合。
MultiPolygon_MVO,GeoJSON: A collection of Polygons,多多边形 (GeoJSON),GeoJSON标准格式：由多个多边形（Polygon）组成的集合。
NetworkCredential_FVO,,网络凭证,一种凭证类型，用于访问网络资源。
NetworkCredential_MVO,,网络凭证,一种凭证类型，用于访问网络资源。
Note_FVO,,备注,用于给实体添加文本备注信息，通常包含作者和创建时间。
Note_MVO,,备注,用于给实体添加文本备注信息，通常包含作者和创建时间。
NumberArrayCharacteristic_FVO,,数字数组特征,Characteristic的具体实现，其值必须是数字数组。
NumberArrayCharacteristic_MVO,,数字数组特征,Characteristic的具体实现，其值必须是数字数组。
NumberArrayCharacteristicValueSpecification_FVO,,数字数组特征值规约,CharacteristicValueSpecification的具体实现，用于为数字数组类型的特征值定义规则。
NumberArrayCharacteristicValueSpecification_MVO,,数字数组特征值规约,CharacteristicValueSpecification的具体实现，用于为数字数组类型的特征值定义规则。
NumberCharacteristic_FVO,,数字特征,Characteristic的具体实现，其值必须是数字。
NumberCharacteristic_MVO,,数字特征,Characteristic的具体实现，其值必须是数字。
NumberCharacteristicValueSpecification_FVO,,数字特征值规约,CharacteristicValueSpecification的具体实现，用于为数字类型的特征值定义规则。
NumberCharacteristicValueSpecification_MVO,,数字特征值规约,CharacteristicValueSpecification的具体实现，用于为数字类型的特征值定义规则。
OAuth2ClientCredential_FVO,,OAuth2客户端凭证,客户端应用在OAuth 2.0授权流程中用于向授权服务器进行身份验证的凭证。
OAuth2ClientCredential_MVO,,OAuth2客户端凭证,客户端应用在OAuth 2.0授权流程中用于向授权服务器进行身份验证的凭证。
ObjectArrayCharacteristic_FVO,,对象数组特征,Characteristic的具体实现，其值必须是对象数组。
ObjectArrayCharacteristic_MVO,,对象数组特征,Characteristic的具体实现，其值必须是对象数组。
ObjectArrayCharacteristicValueSpecification_FVO,,对象数组特征值规约,CharacteristicValueSpecification的具体实现，用于为对象数组类型的特征值定义规则。
ObjectArrayCharacteristicValueSpecification_MVO,,对象数组特征值规约,CharacteristicValueSpecification的具体实现，用于为对象数组类型的特征值定义规则。
ObjectCharacteristic_FVO,,对象特征,Characteristic的具体实现，其值是一个复杂的对象。
ObjectCharacteristic_MVO,,对象特征,Characteristic的具体实现，其值是一个复杂的对象。
ObjectCharacteristicValueSpecification_FVO,,对象特征值规约,CharacteristicValueSpecification的具体实现，用于为对象类型的特征值定义规则。
ObjectCharacteristicValueSpecification_MVO,,对象特征值规约,CharacteristicValueSpecification的具体实现，用于为对象类型的特征值定义规则。
OffsetParameter,,偏移量参数,控制分页查询起始位置（例如 ?offset=20）。
OpenGatewayOrderItemRelationship_FVO,,OGW订单项关系,Open Gateway场景下，订单项之间的关系。
OrderItemRelationship_FVO,,订单项关系,描述订单中不同订单项之间的关系，例如依赖关系。
Organization_FVO,,组织,描述一个组织或公司的详细信息，例如名称、类型、法律地位等。
Organization_MVO,,组织,描述一个组织或公司的详细信息，例如名称、类型、法律地位等。
OrganizationChildRelationship_FVO,,子组织关系,描述一个组织与其子组织（如子公司）之间的关系。
OrganizationChildRelationship_MVO,,子组织关系,描述一个组织与其子组织（如子公司）之间的关系。
OrganizationIdentification_FVO,,组织标识,组织的身份证明文件信息，例如营业执照号码。
OrganizationIdentification_MVO,,组织标识,组织的身份证明文件信息，例如营业执照号码。
OrganizationParentRelationship_FVO,,父组织关系,描述一个组织与其父组织（如母公司）之间的关系。
OrganizationParentRelationship_MVO,,父组织关系,描述一个组织与其父组织（如母公司）之间的关系。
OrganizationRef_FVO,,组织引用,用于简要引用一个组织。
OrganizationRef_MVO,,组织引用,用于简要引用一个组织。
OtherNameOrganization_FVO,,组织曾用名,记录一个组织的其他名称，例如曾用名或商号。
OtherNameOrganization_MVO,,组织曾用名,记录一个组织的其他名称，例如曾用名或商号。
Party_FVO,,参与方,表示一个独立的实体，可以是一个人（Individual）或一个组织（Organization）。
Party_MVO,,参与方,表示一个独立的实体，可以是一个人（Individual）或一个组织（Organization）。
PartyCreditProfile_FVO,,参与方信用档案,记录一个参与方（个人或组织）的信用信息，如信用评分和有效期。
